brand,model,GPRS,EDGE,announced,dimentions,weight_g,SIM,display_type,display_resolution,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,
Micromax,Bolt A27,Class 12,Yes,2013 January,116.2 x 62 x 13.2 mm (4.57 x 2.44 x 0.52 in),89,Dual SIM,TFT touchscreen,3.5 inches (~50.6% screen-to-body ratio),Android 2.3 (Gingerbread),1.0 GHz,,,microSD  up to 16 GB (dedicated slot),,,VGA,No,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,No,,FM radio,Yes,,Removable Li-Ion battery,Black,50,http://cdn2.gsmarena.com/vv/bigpic/micromax-a27.jpg,
Micromax,A115 Canvas 3D,Yes,Yes,2013 April,-,,Dual SIM (dual stand-by),3D capacitive touchscreen  16M colors,5.0 inches,Android 4.1.2 (Jelly Bean),Dual-core 1.2 GHz Cortex-A9,Mediatek MT6577T,PowerVR SGX531u,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| gyro| proximity,Removable Li-Ion 2000 mAh battery,Black| White,150,http://cdn2.gsmarena.com/vv/bigpic/micromax-a115-canvas-3d.jpg,
Micromax,A116 Canvas HD,Yes,Yes,2013 January,144 x 74 x 10.7 mm (5.67 x 2.91 x 0.42 in),156,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.7% screen-to-body ratio),Android 4.1.2 (Jelly Bean)| planned upgrade to 4.2|1 (Jelly Bean),Quad-core 1.2 GHz Cortex-A7,Mediatek MT6589,PowerVR SGX544,microSD  up to 32 GB (dedicated slot),4 GB (1.77 GB user available),1 GB RAM,8 MP| autofocus| LED flash,2 MP| 320p,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes with A-GPS,,FM radio,microUSB 2.0| USB Host,Accelerometer| gyro| proximity,Removable Li-Ion 2000 mAh battery,Black| White,230,http://cdn2.gsmarena.com/vv/bigpic/micromax-a116-canvas-hd.jpg,
Micromax,A101,Class 12,Class 12,2012 December,148 x 79 x 10.3 mm (5.83 x 3.11 x 0.41 in),200,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,5.0 inches (~60.9% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz,,,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,5 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| hotspot,Yes with A-GPS,,FM radio| recording,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2100 mAh battery,Black| White,140,http://cdn2.gsmarena.com/vv/bigpic/micromax-a101.jpg,
Micromax,A110 Canvas 2,Yes,Yes,2012 October,147 x 76.5 x 9.7 mm (5.79 x 3.01 x 0.38 in),168,Dual SIM (Mini-SIM),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~61.3% screen-to-body ratio),Android 4.0.4 (Ice Cream Sandwich)| upgradable to 4.1.1 (Jelly Bean),Dual-core 1.0 GHz Cortex-A9,Mediatek MT6577,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),4 GB (2 GB user available),512 MB RAM,8 MP| autofocus| dual-LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes with A-GPS,,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Black| White,160,http://cdn2.gsmarena.com/vv/bigpic/micromax-a110.jpg,
Micromax,A89 Ninja,Yes,Yes,2013 February,-,,Dual SIM (Mini-SIM),TFT capacitive touchscreen  256K colors,3.97 inches,Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,Mediatek MT6577,PowerVR SGX531u,microSD  up to 32 GB (dedicated slot),2 GB,512 MB RAM,3.15 MP,No,Yes,Yes,Yes,Yes,,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1450 mAh battery,Black,90,http://cdn2.gsmarena.com/vv/bigpic/micromax-ninja-a89.jpg,
Micromax,A87 Ninja 4.0,Yes,Yes,2012 September,124.8 x 64 x 11.7 mm (4.91 x 2.52 x 0.46 in),,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  256K colors,4.0 inches (~57.0% screen-to-body ratio),Android 2.3.5 (Gingerbread),1.0 GHz,,,microSD  up to 32 GB (dedicated slot),130 MB,256 MB RAM,2 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1400 mAh battery,Black,90,http://cdn2.gsmarena.com/vv/bigpic/micromax-superfone-a87-ninja-4.jpg,
Micromax,A57 Ninja 3.0,Class 12,Class 12,2012 September,116 x 62 x 11.5 mm (4.57 x 2.44 x 0.45 in),93.8,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  256K colors,3.5 inches (~50.7% screen-to-body ratio),Android 2.3.5 (Gingerbread),1.0 GHz,,Adreno 200,microSD  up to 32 GB (dedicated slot),256 MB,512 MB RAM,3.15 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,,FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 1400 mAh battery,Black,70,http://cdn2.gsmarena.com/vv/bigpic/micromax-superfone-a57-ninja-3.jpg,
Micromax,Funbook Infinity P275,No,No,2012,-,,No,TFT capacitive touchscreen  16M colors,7.0 inches,Android 4.0.4 (Ice Cream Sandwich),1.2 GHz Cortex-A8,,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,2 MP,VGA,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n,No,,No,miniUSB 2.0,Accelerometer,Non-removable Li-Ion 4000 mAh battery,Black,70,http://cdn2.gsmarena.com/vv/bigpic/micromax-funbook-infinity-p275.jpg,
Micromax,Funbook Alfa P250,No,No,2012 September,-,,No,TFT capacitive touchscreen,7.0 inches,Android 4.0.3 (Ice Cream Sandwich),1.0 GHz Cortex-A8,,Mali-400,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,VGA,No,Yes,Yes,Wi-Fi 802.11 b/g/n,,,No,2,Accelerometer,Non-removable Li-Ion 2800 mAh battery,Gray,90,http://cdn2.gsmarena.com/vv/bigpic/micromax-funbook-alfa.jpg,
